Season,short_name,long_name,age,dob,height_cm,weight_kg,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,release_clause_eur,nation_position,nation_jersey_number,previous_edition_overall,long_name1,club_name1
2015/16,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,31,1985-02-05,185,80,Real Madrid CF,Spain Primera Division,94,94,87000000.0,575000.0,"LW, LM, ST",Right,,LS,7.0,93.0,Cristiano Ronaldo dos Santos Aveiro,Real Madrid CF
2015/16,L. Messi,Lionel Andrés Messi Cuccittini,29,1987-06-24,170,72,FC Barcelona,Spain Primera Division,93,93,89000000.0,575000.0,RW,Left,,RW,10.0,94.0,Lionel Andres Messi Cuccittini,FC Barcelona
2015/16,M. Neuer,Manuel Peter Neuer,30,1986-03-27,193,92,FC Bayern München,German 1. Bundesliga,92,92,69500000.0,225000.0,GK,Right,,GK,1.0,90.0,Manuel Peter Neuer,FC Bayern Munchen
2015/16,L. Suárez,Luis Alberto Suárez Díaz,29,1987-01-24,182,85,FC Barcelona,Spain Primera Division,92,92,83000000.0,525000.0,ST,Right,,RS,9.0,90.0,Luis Alberto Suarez Diaz,FC Barcelona
2015/16,Neymar,Neymar da Silva Santos Júnior,24,1992-02-05,174,68,FC Barcelona,Spain Primera Division,92,95,109000000.0,450000.0,LW,Right,,LW,10.0,88.0,Neymar da Silva Santos Junior,FC Barcelona
2015/16,Z. Ibrahimović,Zlatan Ibrahimović,34,1981-10-03,195,95,Manchester United,English Premier League,90,90,36500000.0,300000.0,ST,Right,,,,89.0,Zlatan Ibrahimovic,Manchester United
2015/16,G. Bale,Gareth Frank Bale,26,1989-07-16,183,74,Real Madrid CF,Spain Primera Division,90,90,72000000.0,375000.0,RW,Left,,RS,11.0,87.0,Gareth Frank Bale,Real Madrid CF
2015/16,J. Boateng,Jérôme Boateng,27,1988-09-03,192,90,FC Bayern München,German 1. Bundesliga,90,90,56000000.0,200000.0,CB,Right,,RCB,17.0,87.0,Jerome Boateng,FC Bayern Munchen
2015/16,R. Lewandowski,Robert Lewandowski,27,1988-08-21,185,79,FC Bayern München,German 1. Bundesliga,90,90,71000000.0,250000.0,ST,Right,,LS,9.0,87.0,Robert Lewandowski,FC Bayern Munchen
2015/16,De Gea,David De Gea Quintana,25,1990-11-07,193,82,Manchester United,English Premier League,90,92,68500000.0,190000.0,GK,Right,,GK,1.0,86.0,David De Gea Quintana,Manchester United
2015/16,S. Agüero,Sergio Leonel Agüero del Castillo,28,1988-06-02,172,74,Manchester City,English Premier League,89,89,61500000.0,325000.0,ST,Right,,SUB,21.0,87.0,Sergio Leonel Aguero del Castillo,Manchester City
2015/16,Sergio Ramos,Sergio Ramos García,30,1986-03-30,183,75,Real Madrid CF,Spain Primera Division,89,89,43500000.0,300000.0,CB,Right,,LCB,15.0,87.0,Sergio Ramos Garcia,Real Madrid CF
2015/16,Thiago Silva,Thiago Emiliano da Silva,31,1984-09-22,183,79,Paris Saint-Germain,French Ligue 1,89,89,39500000.0,170000.0,CB,Right,,SUB,14.0,88.0,Thiago Emiliano da Silva,Paris Saint-Germain
2015/16,M. Özil,Mesut Özil,27,1988-10-15,183,76,Arsenal,English Premier League,89,90,68500000.0,250000.0,"CAM, LW",Left,,CAM,10.0,87.0,Mesut Ozil,Arsenal
2015/16,L. Modrić,Luka Modrić,30,1985-09-09,174,65,Real Madrid CF,Spain Primera Division,89,89,54000000.0,325000.0,"CM, CDM",Right,,,,87.0,Luka Modric,Real Madrid CF
2015/16,T. Courtois,Thibaut Courtois,24,1992-05-11,199,91,Chelsea,English Premier League,89,93,67500000.0,170000.0,GK,Left,,GK,1.0,86.0,Thibaut Courtois,Chelsea
2015/16,Iniesta,Andrés Iniesta Luján,32,1984-05-11,171,68,FC Barcelona,Spain Primera Division,88,88,39500000.0,325000.0,CM,Right,,LCM,6.0,88.0,Andres Iniesta Lujan,FC Barcelona
2015/16,G. Buffon,Gianluigi Buffon,38,1978-01-28,192,91,Juventus,Italian Serie A,88,88,9000000.0,120000.0,GK,Right,,GK,1.0,84.0,Gianluigi Buffon,Juventus
2015/16,P. Čech,Petr Čech,34,1982-05-20,196,90,Arsenal,English Premier League,88,88,34000000.0,190000.0,GK,Left,,,,85.0,Petr Cech,Arsenal
2015/16,Pepe,Kléper Laveran de Lima Ferreira,33,1983-02-26,188,81,Real Madrid CF,Spain Primera Division,88,88,23500000.0,300000.0,CB,Right,,LCB,3.0,84.0,Kleper Laveran de Lima Ferreira,Real Madrid CF
2015/16,P. Lahm,Philipp Lahm,32,1983-11-11,170,66,FC Bayern München,German 1. Bundesliga,88,88,29500000.0,200000.0,"RB, CDM, CM",Right,,,,87.0,Philipp Lahm,FC Bayern Munchen
2015/16,G. Chiellini,Giorgio Chiellini,31,1984-08-14,187,86,Juventus,Italian Serie A,88,88,34000000.0,225000.0,CB,Left,,LCB,3.0,87.0,Giorgio Chiellini,Juventus
2015/16,G. Higuaín,Gonzalo Gerardo Higuaín,28,1987-12-10,184,79,Juventus,Italian Serie A,88,88,53500000.0,275000.0,ST,Right,,SUB,11.0,84.0,Gonzalo Gerardo Higuain,Juventus
2015/16,H. Lloris,Hugo Lloris,29,1986-12-26,188,78,Tottenham Hotspur,English Premier League,88,88,45000000.0,170000.0,GK,Left,,,,85.0,Hugo Lloris,Tottenham Hotspur
2015/16,D. Godín,Diego Roberto Godín Leal,30,1986-02-16,185,73,Atlético de Madrid,Spain Primera Division,88,88,38000000.0,120000.0,CB,Right,,LCB,3.0,85.0,Diego Roberto Godin Leal,Atletico de Madrid
2015/16,T. Kroos,Toni Kroos,26,1990-01-04,182,78,Real Madrid CF,Spain Primera Division,88,90,61000000.0,325000.0,"CM, CDM",Right,,LDM,8.0,87.0,Toni Kroos,Real Madrid CF
2015/16,E. Hazard,Eden Hazard,25,1991-01-07,173,74,Chelsea,English Premier League,88,90,62000000.0,275000.0,"LM, CAM, LW",Right,,LF,10.0,89.0,Eden Hazard,Chelsea
2015/16,M. Reus,Marco Reus,27,1989-05-31,182,72,Borussia Dortmund,German 1. Bundesliga,88,88,52000000.0,140000.0,"LM, CAM",Right,,,,86.0,Marco Reus,Borussia Dortmund
2015/16,K. De Bruyne,Kevin De Bruyne,25,1991-06-28,181,76,Manchester City,English Premier League,88,91,65500000.0,275000.0,"CAM, RM, LM",Right,,RF,7.0,86.0,Kevin De Bruyne,Manchester City
2015/16,A. Griezmann,Antoine Griezmann,25,1991-03-21,176,67,Atlético de Madrid,Spain Primera Division,88,92,68500000.0,140000.0,"ST, RW, LW",Left,,RW,7.0,83.0,Antoine Griezmann,Atletico de Madrid
2015/16,P. Pogba,Paul Pogba,23,1993-03-15,191,84,Manchester United,English Premier League,88,94,71500000.0,225000.0,"CM, CDM, CAM",Right,,RCM,6.0,86.0,Paul Pogba,Manchester United
2015/16,A. Robben,Arjen Robben,32,1984-01-23,180,80,FC Bayern München,German 1. Bundesliga,87,87,34000000.0,170000.0,"RM, RW",Left,,RM,11.0,90.0,Arjen Robben,FC Bayern Munchen
2015/16,S. Handanovič,Samir Handanovič,31,1984-07-14,193,89,Inter,Italian Serie A,87,87,35500000.0,90000.0,GK,Right,,,,83.0,Samir Handanovic,Inter
2015/16,K. Benzema,Karim Benzema,28,1987-12-19,187,79,Real Madrid CF,Spain Primera Division,87,87,45500000.0,300000.0,ST,Right,,,,86.0,Karim Benzema,Real Madrid CF
2015/16,David Silva,David Josué Jiménez Silva,30,1986-01-08,170,67,Manchester City,English Premier League,87,87,41500000.0,225000.0,"CAM, LM",Left,,RW,21.0,88.0,David Josue Jimenez Silva,Manchester City
2015/16,I. Rakitić,Ivan Rakitić,28,1988-03-10,184,78,FC Barcelona,Spain Primera Division,87,87,43500000.0,275000.0,CM,Right,,,,84.0,Ivan Rakitic,FC Barcelona
2015/16,M. Hummels,Mats Hummels,27,1988-12-16,191,92,FC Bayern München,German 1. Bundesliga,87,87,37000000.0,160000.0,CB,Right,,LCB,5.0,86.0,Mats Hummels,FC Bayern Munchen
