Season_fifa,short_name,age,dob,height_cm,weight_kg,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,release_clause_eur,nation_position,nation_jersey_number,previous_edition_overall,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
2015/16,Cristiano Ronaldo,31,1985-02-05,185,80,Real Madrid CF,Spain Primera Division,94,94,87000000.0,575000.0,"LW, LM, ST",Right,,LS,7.0,93.0,F,36,3183,36,0,2,3,0,0,35,11,1,11,0,227,98,8,48,9,51,13,39,0,3,11,8,22,38,850,1070,9,56,50,51,155,0,0,143,64,30,84,34,5,0,0,44,0,1685,0,389,156,682,0,79,1,418,31,9,6,2,1,1,0,0,0,47,26,9,1,31,11,0,0,0,0,0,0,0,15,15,0,12,0,0,50,27,24,92
2015/16,L. Messi,29,1987-06-24,170,72,FC Barcelona,Spain Primera Division,93,93,89000000.0,575000.0,RW,Left,,RW,10.0,94.0,F/M,33,2728,31,2,2,3,0,0,26,16,5,14,2,158,75,6,48,14,77,37,48,9,0,11,7,13,61,1505,1838,4,5,71,117,194,0,0,93,53,20,65,22,6,0,0,74,0,2526,0,792,174,1272,0,304,0,598,49,7,3,2,2,13,4,35,16,51,38,11,4,22,14,0,0,0,0,0,0,0,0,0,0,117,34,0,10,18,17,190
2015/16,M. Neuer,30,1986-03-27,193,92,FC Bayern München,German 1. Bundesliga,92,92,69500000.0,225000.0,GK,Right,,GK,1.0,90.0,G,34,3021,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,898,1111,0,3,288,1,6,1,3,0,0,0,0,0,0,0,0,0,0,1409,0,14,0,64,0,5,0,224,64,0,0,0,0,0,0,0,0,0,0,0,0,16,20,63,40,23,10,0,2,0,16,10,8,179,0,0,0,0,0,1
2015/16,L. Suárez,29,1987-01-24,182,85,FC Barcelona,Spain Primera Division,92,92,83000000.0,525000.0,ST,Right,,RS,9.0,90.0,F,35,3150,35,0,0,6,0,0,40,16,1,15,1,137,70,8,34,4,56,21,39,0,2,23,18,41,59,677,926,4,15,68,41,136,0,1,121,68,40,16,2,0,0,1,43,0,1529,0,350,187,588,1,85,0,496,54,5,3,0,2,0,0,0,0,39,1,0,0,27,17,0,0,0,0,0,0,0,18,18,0,23,5,0,59,29,34,117
2015/16,Neymar,24,1992-02-05,174,68,FC Barcelona,Spain Primera Division,92,95,109000000.0,450000.0,LW,Right,,LW,10.0,88.0,F/M,34,3057,34,0,1,6,0,0,24,12,3,11,1,124,61,11,126,38,102,26,79,10,0,28,15,48,130,1467,1814,9,21,112,143,321,0,0,96,55,23,28,6,1,0,2,91,0,2800,0,813,279,1250,1,245,0,758,33,7,5,2,0,11,2,124,86,35,14,3,1,26,15,0,0,0,0,0,0,0,1,1,0,64,9,0,24,30,20,247
2015/16,Z. Ibrahimović,34,1981-10-03,195,95,Manchester United,English Premier League,90,90,36500000.0,300000.0,ST,Right,,,,89.0,F,31,2552,29,2,6,1,0,0,38,13,1,12,1,155,81,5,10,1,46,18,32,0,2,17,12,27,33,1081,1370,1,43,60,38,130,0,0,104,60,32,51,21,6,0,0,53,0,1856,0,384,124,773,0,90,0,462,47,6,5,0,1,1,0,1,0,31,22,8,1,16,11,0,0,0,0,0,0,0,29,25,0,50,12,0,51,19,27,54
2015/16,J. Boateng,27,1988-09-03,192,90,FC Bayern München,German 1. Bundesliga,90,90,56000000.0,200000.0,CB,Right,,RCB,17.0,87.0,D,19,1352,17,2,8,3,1,1,0,3,1,3,0,7,1,31,8,3,13,5,10,0,4,14,12,10,4,1123,1299,3,30,89,4,51,0,0,1,0,0,6,1,0,0,0,1,0,1452,0,186,25,529,2,55,0,214,216,0,0,0,0,0,0,0,0,4,0,0,0,9,4,0,0,0,0,1,0,0,42,33,0,136,1,0,0,0,0,5
2015/16,R. Lewandowski,27,1988-08-21,185,79,FC Bayern München,German 1. Bundesliga,90,90,71000000.0,250000.0,ST,Right,,LS,9.0,87.0,F,32,2654,29,3,3,2,0,0,30,2,0,2,0,152,74,6,5,1,22,7,20,0,0,12,8,36,48,603,761,1,54,35,39,148,1,1,127,66,28,25,8,2,0,1,49,0,1277,0,233,207,425,0,49,0,364,20,2,2,0,0,0,0,0,0,30,0,0,0,14,16,0,0,0,0,0,0,0,17,13,0,13,1,0,37,27,21,84
2015/16,Sergio Ramos,30,1986-03-30,183,75,Real Madrid CF,Spain Primera Division,89,89,43500000.0,300000.0,CB,Right,,LCB,15.0,87.0,D,23,1944,23,0,3,7,2,2,2,2,0,1,1,19,4,77,3,2,7,1,4,1,20,35,26,34,26,1151,1274,2,40,125,3,103,0,1,17,4,2,2,0,0,0,1,3,0,1602,0,114,61,419,3,11,0,166,191,0,0,0,0,0,0,0,0,3,0,0,0,21,6,0,0,0,0,1,0,0,78,55,0,83,0,0,4,0,0,5
2015/16,M. Özil,27,1988-10-15,183,76,Arsenal,English Premier League,89,90,68500000.0,250000.0,"CAM, LW",Left,,CAM,10.0,87.0,M,35,3047,35,0,14,4,0,0,6,19,1,14,5,47,20,22,228,93,146,28,79,46,0,35,27,20,43,1964,2276,23,3,147,46,126,0,0,31,17,6,16,3,0,0,0,60,0,2963,0,1018,171,1645,0,390,0,636,87,0,0,0,0,33,12,144,130,33,6,0,0,31,7,0,0,0,0,0,0,0,10,9,0,53,17,0,15,8,4,81
