Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Bartosz Bialkowski,MIL,EFL,G,46,4140,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,414,946,0,10,338,0,17,1,0,0,0,0,0,0,0,0,0,0,0,1301,0,42,1,212,0,4,0,537,213,0,0,0,0,0,0,0,0,0,0,0,0,52,17,122,73,46,6,0,4,1,25,25,16,269,0,0,0,0,0,0
Yoann Barbet,QPR,EFL,D,46,4140,46,0,0,7,0,0,2,2,0,2,0,39,9,105,51,13,15,4,13,0,29,46,26,40,32,2004,2567,12,129,254,17,222,1,0,25,8,2,14,1,0,0,0,4,2,3283,42,271,170,713,15,83,1,656,383,0,0,0,0,0,0,7,7,10,3,0,0,55,14,0,0,0,0,1,0,0,200,200,0,323,0,0,0,2,1,20
Mads Juel Andersen,BAR,EFL,D,46,4118,46,0,0,8,1,1,1,5,0,2,3,26,9,113,9,0,13,6,8,0,13,71,54,78,27,1016,1844,0,308,282,12,417,1,1,25,9,1,1,0,0,0,0,5,0,2536,74,183,269,448,6,65,1,887,212,0,0,0,0,0,0,0,0,7,0,0,0,49,14,0,0,0,0,0,0,0,242,242,0,114,0,0,4,1,1,12
Paddy McNair,MID,EFL,M/D,46,4090,46,0,2,7,0,1,2,7,1,2,5,37,10,59,217,46,49,8,20,22,17,85,62,35,95,1337,1841,15,91,329,22,289,1,0,12,6,2,25,4,0,0,0,18,0,2686,35,427,156,748,3,279,1,768,171,0,0,0,0,73,16,111,89,37,10,2,0,53,12,0,0,0,0,1,0,0,86,86,0,194,1,0,0,1,1,32
Barry Bannan,SHW,EFL,M,46,4015,46,0,7,9,0,0,2,5,0,2,3,42,13,54,259,59,81,11,39,37,6,62,36,30,25,1877,2435,13,13,353,69,169,0,0,12,7,2,30,6,0,0,0,31,0,3223,33,577,158,1050,12,420,0,889,205,3,2,0,1,65,13,145,126,32,4,0,0,58,10,0,0,0,0,0,0,0,23,23,0,239,3,0,2,2,2,91
Brice Samba,NOT,EFL,G,45,4050,45,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,1,1,9,713,1316,0,22,430,0,28,2,4,0,0,0,0,0,0,0,0,1,0,1765,0,69,2,198,0,24,0,616,204,0,0,0,0,0,0,0,0,1,0,0,0,43,14,114,70,43,5,1,6,1,38,38,24,309,0,0,0,0,0,0
Rafael,REA,EFL,G,45,4050,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,3,926,1423,0,11,337,1,16,4,1,0,0,0,0,0,0,0,0,1,0,1746,0,36,6,160,0,16,0,506,160,0,0,0,0,0,0,0,0,1,0,0,0,52,17,103,63,39,4,0,5,2,26,26,11,275,0,0,0,0,0,1
Asmir Begovic,BOU,EFL,G,45,4050,45,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,6,806,1147,0,16,345,0,20,2,0,0,0,0,0,0,0,0,0,0,0,1623,0,24,4,103,0,7,0,351,109,0,0,0,0,0,0,0,0,1,0,0,0,44,15,120,64,54,8,1,5,1,40,40,19,180,0,0,0,0,0,0
Freddie Woodman,SWA,EFL,G,45,4050,45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,754,1232,0,8,402,0,15,1,4,0,0,0,0,0,0,0,0,0,0,1613,0,24,2,114,0,6,0,485,116,0,0,0,0,0,0,0,0,0,0,0,0,38,20,98,71,27,16,0,3,1,26,26,14,285,0,0,0,0,0,0
Max Aarons,NOR,EFL,D,45,4047,45,0,3,5,0,0,2,2,0,2,0,28,8,39,132,35,61,5,59,0,9,31,18,21,65,1745,2102,35,37,232,61,194,0,0,18,7,2,10,1,0,0,2,27,0,3202,132,540,169,871,22,164,0,647,67,0,0,0,0,0,0,1,0,26,0,0,0,35,17,0,0,0,0,0,0,0,79,79,0,102,2,0,4,1,1,107
